date,home_team,away_team,score,venue,referee,home_possession,away_possession,home_shots_on_target,away_shots_on_target,home_saves,away_saves,home_shots_on_target_pct,away_shots_on_target_pct,home_saves_pct,away_saves_pct,result,winner,year,month,day,weekday
2026-01-28,Club Brugge,Marseille,3–0,Jan Breydelstadion,Marco Guida,38.0,62.0,,,,,45.5,50.0,100.0,40.0,Home Win,Club Brugge,2026.0,1.0,28.0,Wednesday
2026-01-28,Eintracht Frankfurt,Tottenham Hotspur,0–2,Deutsche Bank Park,Jesús Gil,45.0,55.0,,,,,25.0,40.0,66.7,100.0,Away Win,Tottenham Hotspur,2026.0,1.0,28.0,Wednesday
2026-01-28,Ajax,Olympiacos,1–2,Johan Cruijff Arena,François Letexier,63.0,37.0,,,,,36.4,27.3,33.3,50.0,Away Win,Olympiacos,2026.0,1.0,28.0,Wednesday
2026-01-28,Atlético Madrid,Bodø/Glimt,1–2,Riyadh Air Metropolitan Stadium,Maurizio Mariani,65.0,35.0,,,,,29.6,63.6,42.9,87.5,Away Win,Bodø/Glimt,2026.0,1.0,28.0,Wednesday
2026-01-28,Athletic Club,Sporting Cp,2–3,San Mamés,Felix Zwayer,35.0,65.0,,,,,22.2,66.7,50.0,0.0,Away Win,Sporting Cp,2026.0,1.0,28.0,Wednesday
2026-01-28,Barcelona,Fc Copenhagen,4–1,Spotify Camp Nou,Benoît Bastien,77.0,24.0,,,,,46.4,16.7,0.0,61.5,Home Win,Barcelona,2026.0,1.0,28.0,Wednesday
2026-01-28,Leverkusen,Villarreal,3–0,Bayarena,Espen Eskås,65.0,35.0,,,,,46.7,40.0,100.0,57.1,Home Win,Leverkusen,2026.0,1.0,28.0,Wednesday
2026-01-28,Paris Saint-Germain,Newcastle United,1–1,Parc Des Princes,Slavko Vinčič,67.0,33.0,,,,,28.0,40.0,75.0,71.4,Draw,Draw,2026.0,1.0,28.0,Wednesday
2026-01-28,Napoli,Chelsea,2–3,Stadio Diego Armando Maradona,Clément Turpin,46.0,54.0,,,,,62.5,45.5,40.0,60.0,Away Win,Chelsea,2026.0,1.0,28.0,Wednesday
2026-01-28,Pafos Fc,Slavia Prague,4–1,Alphamega Stadium,Tobias Stieler,45.0,55.0,,,,,47.1,23.1,66.7,62.5,Home Win,Pafos Fc,2026.0,1.0,28.0,Wednesday
